iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
CD,Chad,0,8481508.145,1379675.415,2497503.522,4604329.208,0,0,0,0,1379675.415,2497503.522,4604329.208,5753105.29,909339.495,1933885.309,2909880.487,0,0,0,0,909339.495,1933885.309,2909880.487,Middle Africa,TCD,0.390777885,Y,0.344372894,0.266766557
MI,Malawi,1.345478048,11641927.29,5422302.788,4990800.642,1228823.863,5889.285011,3821.072214,2068.212797,0,5418481.716,4988732.429,1228823.863,6268496.017,2441290.488,2855817.245,971388.2852,4266.558066,3634.999866,631.5582004,0,2437655.488,2855185.687,971388.2852,Eastern Africa,MWI,0.222847347,Y,0.658483594,0.779716392
ZA,Zambia,0,10859842.73,2889299.7,3613323.039,4357219.988,0,0,0,0,2889299.7,3613323.039,4357219.988,5752124.203,1148374.51,1633512.777,2970236.916,0,0,0,0,1148374.51,1633512.777,2970236.916,Eastern Africa,ZMB,0.558803932,Y,0.658483594,0.779716392
ZI,Zimbabwe,3.451787485,13235197.51,3557991.424,5035413.237,4641792.849,13848.136,607.3149566,2030.923072,11209.89797,3557384.109,5033382.314,4630582.951,3290671.162,1367312.66,1100451.25,822907.2526,11884.73297,1618.067433,8267.862478,1998.803056,1365694.592,1092183.387,820908.4495,Eastern Africa,ZWE,0.349354889,Y,0.658483594,0.779716392
BC,Botswana,0,1891185.397,464199.0068,779124.0758,647862.3142,0,0,0,0,464199.0068,779124.0758,647862.3142,568230.4458,270323.015,190935.8122,106971.6187,0,0,0,0,270323.015,190935.8122,106971.6187,Southern Africa,BWA,0.120949829,Y,0.575561959,0.654721907
WA,Namibia,0,2054268.136,1361203.653,374189.6263,318874.8565,0,0,0,0,1361203.653,374189.6263,318874.8565,593377.5727,200510.5628,166398.9557,226468.0542,0,0,0,0,200510.5628,166398.9557,226468.0542,Southern Africa,NAM,1.070167973,Y,0.575561959,0.654721907
AO,Angola,0,15255449.34,4415028.564,3200970.224,7639450.554,0,0,0,0,4415028.564,3200970.224,7639450.554,10098796.1,569064.5516,1784577.935,7745153.612,0,0,0,0,569064.5516,1784577.935,7745153.612,Middle Africa,AGO,0.786063999,Y,0.344372894,0.266766557
BY,Burundi,0,6705218.048,1180569.526,3873289.982,1651358.539,0,0,0,0,1180569.526,3873289.982,1651358.539,4411183.211,562292.5089,2146260.072,1702630.63,0,0,0,0,562292.5089,2146260.072,1702630.63,Eastern Africa,BDI,2.136372304,Y,0.658483594,0.779716392
RW,Rwanda,0,8058861.122,1250590.223,5465146.764,1343124.135,0,0,0,0,1250590.223,5465146.764,1343124.135,3584854.726,357084.4975,2444275.329,783494.8998,0,0,0,0,357084.4975,2444275.329,783494.8998,Eastern Africa,RWA,0.249596794,Y,0.658483594,0.779716392
SF,South Africa,-2.300065391,51103954.21,13781495.1,13836970.38,23485488.73,1228.982697,943.2689359,244.0201714,41.69359016,13780551.83,13836726.36,23485447.04,10910442.93,642169.1809,2239086.831,8029186.914,-603.4952112,-538.9316291,-113.6293761,49.06579399,642708.1125,2239200.46,8029137.848,Southern Africa,ZAF,1.589129034,Y,0.575561959,0.654721907
LT,Lesotho,0,2129756.26,971158.9112,873651.5251,284945.8239,0,0,0,0,971158.9112,873651.5251,284945.8239,316760.4334,84955.06042,174639.7218,57165.65113,0,0,0,0,84955.06042,174639.7218,57165.65113,Southern Africa,LSO,0.084262661,Y,0.575561959,0.654721907
WZ,Swaziland,12.39264519,1179715.818,632684.8795,386949.5344,160081.4041,242.6458425,0,242.6458425,0,632684.8795,386706.8885,160081.4041,251397.0293,154438.7862,58140.53304,38817.71004,640.7957299,1.769661188,639.0260687,0,154437.0165,57501.50697,38817.71004,Southern Africa,SWZ,0.0133003,Y,0.575561959,0.654721907
MF,Mayotte,0,146611.2655,22608.36649,72280.8468,51722.05224,0,0,0,0,22608.36649,72280.8468,51722.05224,86781.09134,11051.41414,42915.14543,32814.53178,0,0,0,0,11051.41414,42915.14543,32814.53178,Eastern Africa,MYT,0.658483594,N,0.658483594,0.779716392
NG,Niger,0,11534103.73,2581333.542,4555133.65,4397636.539,0,0,0,0,2581333.542,4555133.65,4397636.539,8910990.356,2060231.957,3524037.986,3326720.413,0,0,0,0,2060231.957,3524037.986,3326720.413,Western Africa,NER,0.212943355,Y,0.266098533,0.206658118
SU,Sudan,0,28714983.31,4159559.532,8361619.743,16193804.03,0,0,0,0,4159559.532,8361619.743,16193804.03,12301268.85,1547494.111,3111489.463,7642285.277,0,0,0,0,1547494.111,3111489.463,7642285.277,Northern Africa,SDN,0.642679383,N,0.642679383,0.317874432
LY,Libya,0,6237493.048,899986.3773,1887455.4,3450051.27,0,0,0,0,899986.3773,1887455.4,3450051.27,1104101.243,242236.8506,419749.386,442115.0059,0,0,0,0,242236.8506,419749.386,442115.0059,Northern Africa,LBY,0.642679383,N,0.642679383,0.317874432
TS,Tunisia,0,11868257.87,1594120.04,4620796.775,5653341.052,0,0,0,0,1594120.04,4620796.775,5653341.052,1914788.667,291640.2056,413976.5178,1209171.943,0,0,0,0,291640.2056,413976.5178,1209171.943,Northern Africa,TUN,0.283350543,Y,0.642679383,0.317874432
EG,Egypt,0,78520630.68,1883122.698,12423885.15,64213622.83,0,0,0,0,1883122.698,12423885.15,64213622.83,26594178.78,720436.9213,4484429.229,21389312.63,0,0,0,0,720436.9213,4484429.229,21389312.63,Northern Africa,EGY,1.027521291,Y,0.642679383,0.317874432
ER,Eritrea,0,3672612.834,469619.1755,1423570.833,1779422.826,0,0,0,0,469619.1755,1423570.833,1779422.826,1761602.396,287684.3975,712651.697,761266.3011,0,0,0,0,287684.3975,712651.697,761266.3011,Eastern Africa,ERI,2.724930036,Y,0.658483594,0.779716392
ET,Ethiopia,0,67175938.51,10853167.83,26095442.99,30227327.69,0,0,0,0,10853167.83,26095442.99,30227327.69,33368935.09,3853472.824,14417752.27,15097710,0,0,0,0,3853472.824,14417752.27,15097710,Eastern Africa,ETH,0.08316212,Y,0.658483594,0.779716392
DJ,Djibouti,0,701885.9711,86713.2972,191218.8951,423953.7787,0,0,0,0,86713.2972,191218.8951,423953.7787,168680.6543,62296.01509,82275.91336,24108.72583,0,0,0,0,62296.01509,82275.91336,24108.72583,Eastern Africa,DJI,0.40972185,Y,0.658483594,0.779716392
SO,Somalia,0,7472429.355,1732213.8,3080769.795,2659445.76,0,0,0,0,1732213.8,3080769.795,2659445.76,3442475.923,1143419.1,1198233.419,1100823.404,0,0,0,0,1143419.1,1198233.419,1100823.404,Eastern Africa,SOM,0.658483594,N,0.658483594,0.779716392
OD,South Sudan,0,6959399.068,1292458.71,2720668.852,2946271.506,0,0,0,0,1292458.71,2720668.852,2946271.506,5749055.195,462979.2417,2117989.885,3168086.069,0,0,0,0,462979.2417,2117989.885,3168086.069,Northern Africa,SSD,0.642679383,N,0.642679383,0.317874432
KE,Kenya,0,31048638.43,11802373.68,13531898.75,5714365.995,0,0,0,0,11802373.68,13531898.75,5714365.995,14978084.74,1565311.879,10044643.03,3368129.828,0,0,0,0,1565311.879,10044643.03,3368129.828,Eastern Africa,KEN,0.415094512,Y,0.658483594,0.779716392
UG,Uganda,0,23783253.06,5923922.928,13411838.98,4447491.156,0,0,0,0,5923922.928,13411838.98,4447491.156,15319373.36,1525661.834,10137042.9,3656668.624,0,0,0,0,1525661.834,10137042.9,3656668.624,Eastern Africa,UGA,0.406323603,Y,0.658483594,0.779716392
TZ,Tanzania,5.219779719,34073091.19,13830539,14139234.98,6103317.2,18.98777441,18.98777441,0,0,13830520.02,14139234.98,6103317.2,19529253.74,2489685.442,11145902.4,5893665.898,56.80680338,56.80680338,0,0,2489628.635,11145902.4,5893665.898,Eastern Africa,TZA,0.388810233,Y,0.658483594,0.779716392
MZ,Mozambique,1.056216264,18997685.82,4304260.021,7630870.166,7062555.638,61183.66218,17348.94649,32485.31759,11349.39811,4286911.075,7598384.848,7051206.24,10106419.21,1919499.649,4285407.375,3901512.182,34378.3419,21140.22331,15881.4858,-2643.367211,1898359.426,4269525.889,3904155.549,Eastern Africa,MOZ,0.311256931,Y,0.658483594,0.779716392
CN,Comoros,0,513123.0667,78699.97906,168248.2847,266174.803,0,0,0,0,78699.97906,168248.2847,266174.803,221374.8118,44539.95156,82999.00292,93835.85737,0,0,0,0,44539.95156,82999.00292,93835.85737,Eastern Africa,COM,0.658483594,N,0.658483594,0.779716392
MA,Madagascar,2.125936962,16546777.04,7041925.228,7285634.277,2219217.532,162677.0761,48903.97661,40064.07527,73709.02426,6993021.251,7245570.202,2145508.508,8944287.686,2113346.677,4799513.531,2031427.479,186942.9473,23311.26229,69655.12211,93976.56291,2090035.415,4729858.409,1937450.916,Eastern Africa,MDG,0.304012171,Y,0.658483594,0.779716392
CV,Cabo Verde,0,437867.9399,69558.16464,296678.6405,71631.13474,0,0,0,0,69558.16464,296678.6405,71631.13474,63010.6627,1974.837077,21729.35029,39306.47533,0,0,0,0,1974.837077,21729.35029,39306.47533,Western Africa,CPV,0.266098533,N,0.266098533,0.206658118
WI,Western Sahara,0,334416.0657,59248.81404,238796.0391,36371.21252,0,0,0,0,59248.81404,238796.0391,36371.21252,291115.1692,41695.36578,180408.8646,69010.93881,0,0,0,0,41695.36578,180408.8646,69010.93881,Northern Africa,ESH,0.642679383,N,0.642679383,0.317874432
MR,Mauritania,0,2782571.585,978227.676,1129227.868,675116.0408,0,0,0,0,978227.676,1129227.868,675116.0408,1386415.645,87112.55178,665854.3218,633448.7714,0,0,0,0,87112.55178,665854.3218,633448.7714,Western Africa,MRT,0.093981435,Y,0.266098533,0.206658118
MO,Morocco,0,34431738.47,8028148.233,9888289.046,16515301.19,0,0,0,0,8028148.233,9888289.046,16515301.19,6464929.536,688743.7991,2005694.991,3770490.746,0,0,0,0,688743.7991,2005694.991,3770490.746,Northern Africa,MAR,0.642679383,N,0.642679383,0.317874432
SP,Spain (Canary Is),0,1839831.541,220474.1402,702129.973,917227.4274,0,0,0,0,220474.1402,702129.973,917227.4274,476649.3601,57643.68207,185799.7439,233205.9342,0,0,0,0,57643.68207,185799.7439,233205.9342,Southern Europe,ESP,0.787808416,Y,0.821498773,0.218724957
PO,Portugal (Madeira Is),0,309917.9885,57716.60295,118257.5499,133943.8357,0,0,0,0,57716.60295,118257.5499,133943.8357,-3054.638551,-4301.845659,-11358.0589,12605.266,0,0,0,0,-4301.845659,-11358.0589,12605.266,Southern Europe,PRT,1.122125444,Y,0.821498773,0.218724957
SP,Spain (Africa),0,183607.0585,917.9871337,10359.18718,172329.8842,0,0,0,0,917.9871337,10359.18718,172329.8842,39119.95684,364.0374263,935.0935033,37820.82591,0,0,0,0,364.0374263,935.0935033,37820.82591,Southern Europe,ESP,0.787808416,Y,0.821498773,0.218724957
AG,Algeria,0,38224905.33,6237524.955,15674815.12,16312565.26,0,0,0,0,6237524.955,15674815.12,16312565.26,10380290.94,1150208.89,3608719.535,5621362.516,0,0,0,0,1150208.89,3608719.535,5621362.516,Northern Africa,DZA,0.617166314,Y,0.642679383,0.317874432
ML,Mali,0,11383702.63,4911694.845,4119899.104,2352108.681,0,0,0,0,4911694.845,4119899.104,2352108.681,6712603.221,1428469.73,2762950.41,2521183.081,0,0,0,0,1428469.73,2762950.41,2521183.081,Western Africa,MLI,0.586474719,Y,0.266098533,0.206658118
UV,Burkina Faso,0,11799960.26,3812347.757,4990374.222,2997238.283,0,0,0,0,3812347.757,4990374.222,2997238.283,6662576.647,1312385.192,2585307.156,2764884.299,0,0,0,0,1312385.192,2585307.156,2764884.299,Western Africa,BFA,0.053577893,Y,0.266098533,0.206658118
TO,Togo,0,4867153.37,851978.9366,1571112.428,2444062.006,0,0,0,0,851978.9366,1571112.428,2444062.006,2401220.262,473218.6263,507967.0197,1420034.616,0,0,0,0,473218.6263,507967.0197,1420034.616,Western Africa,TGO,0.102177209,Y,0.266098533,0.206658118
GH,Ghana,0,18980094.9,4073463.334,6788502.316,8118129.253,0,0,0,0,4073463.334,6788502.316,8118129.253,8681003.518,2004294.241,2120927.052,4555782.225,0,0,0,0,2004294.241,2120927.052,4555782.225,Western Africa,GHA,0.158403705,Y,0.266098533,0.206658118
IV,Cote d'Ivoire,0,16627593.28,6090372.093,4805833.138,5731388.052,0,0,0,0,6090372.093,4805833.138,5731388.052,6248010.731,2807196.374,1574880.988,1865933.369,0,0,0,0,2807196.374,1574880.988,1865933.369,Western Africa,CIV,0.34095657,Y,0.266098533,0.206658118
GV,Guinea,0,8951269.562,3535854.372,2805537.139,2609878.052,0,0,0,0,3535854.372,2805537.139,2609878.052,3837945.229,1225476.852,1133296.747,1479171.63,0,0,0,0,1225476.852,1133296.747,1479171.63,Western Africa,GIN,0.144155696,Y,0.266098533,0.206658118
SG,Senegal,0,10126540.97,1242389.258,2095722.091,6788429.621,0,0,0,0,1242389.258,2095722.091,6788429.621,5406249.891,835318.6446,1232320.849,3338610.397,0,0,0,0,835318.6446,1232320.849,3338610.397,Western Africa,SEN,0.155736171,Y,0.266098533,0.206658118
GA,"Gambia, The",0,1264207.59,338224.9804,391767.384,534215.2256,0,0,0,0,338224.9804,391767.384,534215.2256,782217.5127,162783.8624,213585.2803,405848.37,0,0,0,0,162783.8624,213585.2803,405848.37,Western Africa,GMB,0.420860757,Y,0.266098533,0.206658118
PU,Guinea-Bissau,0,1331132.948,397709.443,480390.492,453033.0132,0,0,0,0,397709.443,480390.492,453033.0132,542219.1319,131426.0737,124123.839,286669.2192,0,0,0,0,131426.0737,124123.839,286669.2192,Western Africa,GNB,0.006570671,Y,0.266098533,0.206658118
SL,Sierra Leone,0,4026613.867,1532644.003,1375367.468,1118602.395,0,0,0,0,1532644.003,1375367.468,1118602.395,2411609.558,867780.2279,767465.0355,776364.2945,0,0,0,0,867780.2279,767465.0355,776364.2945,Western Africa,SLE,0.711446746,Y,0.266098533,0.206658118
LI,Liberia,0,2892476.427,1401531.372,650958.2869,839986.7676,0,0,0,0,1401531.372,650958.2869,839986.7676,1608944.299,657093.2165,268007.3156,683843.7671,0,0,0,0,657093.2165,268007.3156,683843.7671,Western Africa,LBR,0.490910799,Y,0.266098533,0.206658118
BN,Benin,0,6961331.252,1075607.38,2895231.41,2990492.461,0,0,0,0,1075607.38,2895231.41,2990492.461,3956069.087,919285.5626,1555653.562,1481129.962,0,0,0,0,919285.5626,1555653.562,1481129.962,Western Africa,BEN,0.394841251,Y,0.266098533,0.206658118
NI,Nigeria,0,124492501.1,14924642.15,42729242.46,66838616.53,0,0,0,0,14924642.15,42729242.46,66838616.53,60100492.71,11166940.38,20862789.87,28070762.46,0,0,0,0,11166940.38,20862789.87,28070762.46,Western Africa,NGA,0.118441017,Y,0.266098533,0.206658118
CM,Cameroon,0,15871036.88,3005804.412,4680265.739,8184966.727,0,0,0,0,3005804.412,4680265.739,8184966.727,7314129.378,1396642.693,1430721.371,4486765.314,0,0,0,0,1396642.693,1430721.371,4486765.314,Middle Africa,CMR,0.211001084,Y,0.344372894,0.266766557
EK,Equatorial Guinea,0,517320.4433,243304.9696,103445.3217,170570.1521,0,0,0,0,243304.9696,103445.3217,170570.1521,300411.2602,77695.48935,38099.0236,184616.7472,0,0,0,0,77695.48935,38099.0236,184616.7472,Middle Africa,GNQ,0.344372894,N,0.344372894,0.266766557
TP,Sao Tome & Principe,0,125728.3103,24650.57622,17736.30216,83341.43197,0,0,0,0,24650.57622,17736.30216,83341.43197,50336.49406,11840.38938,8684.942959,29811.16172,0,0,0,0,11840.38938,8684.942959,29811.16172,Middle Africa,STP,0.344372894,N,0.344372894,0.266766557
GB,Gabon,0,1219002.915,344242.1614,274020.3931,600740.3603,0,0,0,0,344242.1614,274020.3931,600740.3603,488276.4182,147256.464,124569.3777,216450.5764,0,0,0,0,147256.464,124569.3777,216450.5764,Middle Africa,GAB,0.344372894,N,0.344372894,0.266766557
CF,Rep of the Congo,0,3092225.651,656877.8558,336626.2159,2098721.579,0,0,0,0,656877.8558,336626.2159,2098721.579,1556276.377,461604.6618,324258.23,770413.485,0,0,0,0,461604.6618,324258.23,770413.485,Middle Africa,COG,0.121399869,Y,0.344372894,0.266766557
CT,Central African Rep,0,3777797.983,1283325.792,1666448.707,828023.4841,0,0,0,0,1283325.792,1666448.707,828023.4841,1225873.295,463232.9588,447002.0264,315638.3101,0,0,0,0,463232.9588,447002.0264,315638.3101,Middle Africa,CAF,0.017953012,Y,0.344372894,0.266766557
CG,Dem Rep of the Congo,0,48343064.11,13182432.09,14108228.5,21052403.53,0,0,0,0,13182432.09,14108228.5,21052403.53,29404099.82,7731814.963,8952654.593,12719630.27,0,0,0,0,7731814.963,8952654.593,12719630.27,Middle Africa,COD,0.539041516,Y,0.344372894,0.266766557
HK,Hong Kong,0,5945602.73,30318.19734,145055.3222,5770229.211,0,0,0,0,30318.19734,145055.3222,5770229.211,479895.9042,3693.39274,7915.404796,468287.1067,0,0,0,0,3693.39274,7915.404796,468287.1067,Eastern Asia,HKG,1.068645657,Y,0.881234477,0.208804297
MC,Macau,0,383380.7096,0.810397471,0,383379.8992,0,0,0,0,0.810397471,0,383379.8992,106413.503,0.892090363,0,106412.6109,0,0,0,0,0.892090363,0,106412.6109,Eastern Asia,MAC,0.964472402,Y,0.881234477,0.208804297
TW,Taiwan,1.634361798,23904263.89,1167838.641,4361829.191,18374596.05,74693.94114,36158.09694,29992.88572,8542.958476,1131680.544,4331836.306,18366053.09,1581967.726,37458.80364,-48607.48069,1593116.403,8078.966775,2697.39492,4009.537136,1372.034719,34761.40872,-52617.01783,1591744.369,Eastern Asia,TWN,1.209786026,Y,0.881234477,0.208804297
JA,Japan,17.27623575,151281040.1,12528206.96,34852282.75,103900550.4,158901.4482,18834.02715,51147.3353,88920.08572,12509372.93,34801135.42,103811630.3,846010.0071,-254168.5422,-1106427.198,2206605.748,15352.10653,2929.470131,11008.89701,1413.739391,-257098.0123,-1117436.095,2205192.008,Eastern Asia,JPN,0.772993492,Y,0.881234477,0.208804297
KS,"Korea, South",-0.452821698,56424499.73,4254402.775,7976805.071,44193291.89,342730.5846,9154.693946,42010.59619,291565.2945,4245248.081,7934794.475,43901726.59,5174398.231,-233712.9208,1130615.364,4277495.787,-14232.20605,1180.634031,-295.7498388,-15117.09024,-234893.5548,1130911.114,4292612.877,Eastern Asia,KOR,0.810885385,Y,0.881234477,0.208804297
KN,"Korea, North",0.109527165,29316849.14,3530986.077,11576063.13,14209799.93,522413.5564,20271.19701,77448.90525,424693.4542,3510714.88,11498614.23,13785106.48,2899168.925,785571.2262,1194794.357,918803.3417,5658.385262,9399.200048,23242.48168,-26983.29646,776172.0262,1171551.875,945786.6382,Eastern Asia,PRK,0.881234477,N,0.881234477,0.208804297
UU,Korean Is. (UN Jurisdiction),0,9277.722373,9277.722373,0,0,0,0,0,0,9277.722373,0,0,222.0715289,222.0715289,0,0,0,0,0,0,222.0715289,0,0,Eastern Asia,KOR,0.810885385,Y,0.881234477,0.208804297
CH,China,3.365991545,488377873.7,78246488.22,190859434.2,219271951.3,475356.2546,109005.0018,142254.3171,224096.9356,78137483.22,190717179.9,219047854.3,49793995.38,1662057.63,19094213.83,29037723.91,163137.2842,36072.72119,98073.16457,28991.39847,1625984.908,18996140.67,29008732.51,Eastern Asia,CHN,0.881234477,N,0.881234477,0.208804297
CH,China,0,47105880.15,18923011.46,12994727.47,15188141.22,0,0,0,0,18923011.46,12994727.47,15188141.22,8454010.882,-431485.6327,4808718.363,4076778.152,0,0,0,0,-431485.6327,4808718.363,4076778.152,Eastern Asia,CHN,0.881234477,N,0.881234477,0.208804297
CH,China,-2.231271478,110800185.9,23296240.93,50175620.29,37328324.71,56305.18258,7225.76428,34255.2076,14824.2107,23289015.17,50141365.08,37313500.5,7318893.747,-1301048.218,4815978.375,3803963.589,-8298.617322,27.00471846,-7496.044782,-829.5772583,-1301075.223,4823474.42,3804793.167,Eastern Asia,CHN,0.881234477,N,0.881234477,0.208804297
CH,China,6.638124058,868591314.1,103122274.3,375907953.8,389561085.9,1203165.847,179266.7087,512739.1366,511160.0019,102943007.6,375395214.7,389049925.9,58871237.23,-2432491.071,7230501.057,54073227.24,541325.569,133051.3402,296971.2949,111302.9338,-2565542.411,6933529.762,53961924.31,Eastern Asia,CHN,0.881234477,N,0.881234477,0.208804297
RS,Russia,0,172464602.3,32341553.16,53539105.47,86583943.69,0,0,0,0,32341553.16,53539105.47,86583943.69,-338344.9046,375687.9737,-2293349.175,1579316.297,0,0,0,0,375687.9737,-2293349.175,1579316.297,Eastern Europe,RUS,0.771560449,N,0.771560449,0.100346888
UP,Ukraine,0,74014923.87,22460243.44,20410302.06,31144378.37,0,0,0,0,22460243.44,20410302.06,31144378.37,-5950562.515,-1991204.988,-2363043.603,-1596313.925,0,0,0,0,-1991204.988,-2363043.603,-1596313.925,Eastern Europe,UKR,0.771560449,N,0.771560449,0.100346888
RO,Romania,0,31696892.57,14343914.84,7844546.538,9508431.192,0,0,0,0,14343914.84,7844546.538,9508431.192,-3803259.317,-2589148.369,-178393.8225,-1035717.126,0,0,0,0,-2589148.369,-178393.8225,-1035717.126,Eastern Europe,ROU,0.701767431,Y,0.771560449,0.100346888
MD,Moldova,0,6180262.529,2479056.222,2265170.143,1436036.164,0,0,0,0,2479056.222,2265170.143,1436036.164,-200326.9061,-53576.41569,-64548.09928,-82202.39115,0,0,0,0,-53576.41569,-64548.09928,-82202.39115,Eastern Europe,MDA,0.730887973,Y,0.771560449,0.100346888
RS,Russia,0,12912129.81,4091064.756,4120153.568,4700911.491,0,0,0,0,4091064.756,4120153.568,4700911.491,-1339999.355,-365333.0876,-643459.5059,-331206.7616,0,0,0,0,-365333.0876,-643459.5059,-331206.7616,Eastern Europe,RUS,0.771560449,N,0.771560449,0.100346888
FI,Finland,0,10797214.64,3807358.612,4267986.008,2721870.021,0,0,0,0,3807358.612,4267986.008,2721870.021,640870.6568,-49629.5278,207453.9269,483046.2577,0,0,0,0,-49629.5278,207453.9269,483046.2577,Northern Europe,FIN,1.044285539,N,1.044285539,0.106161536
NO,Norway,0,8694832.357,3829296.59,3027904.555,1837631.212,0,0,0,0,3829296.59,3027904.555,1837631.212,1317017.939,329162.7127,519019.615,468835.611,0,0,0,0,329162.7127,519019.615,468835.611,Northern Europe,NOR,1.044285539,N,1.044285539,0.106161536
AN,Andorra,0,88302.80761,15869.64606,72433.16155,0,0,0,0,0,15869.64606,72433.16155,0,6795.194947,10432.42469,-3637.229743,0,0,0,0,0,10432.42469,-3637.229743,0,Southern Europe,AND,0.821498773,N,0.821498773,0.218724957
IT,Italy,0,77327817.69,18479476.82,30640511.83,28207829.04,0,0,0,0,18479476.82,30640511.83,28207829.04,3757588.95,1262272.381,2304891.809,190424.7597,0,0,0,0,1262272.381,2304891.809,190424.7597,Southern Europe,ITA,0.948137198,Y,0.821498773,0.218724957
MN,Monaco,0,36355.92384,0,0,36355.92384,0,0,0,0,0,0,36355.92384,6458.66357,0,0,6458.66357,0,0,0,0,0,0,6458.66357,Western Europe,MCO,0.919464318,N,0.919464318,0.082723269
MT,Malta,0,463744.7932,17720.39252,89294.91634,356729.4843,0,0,0,0,17720.39252,89294.91634,356729.4843,36816.01369,8591.261249,19876.88059,8347.871846,0,0,0,0,8591.261249,19876.88059,8347.871846,Southern Europe,MLT,0.821498773,N,0.821498773,0.218724957
SM,San Marino,0,38506.94824,6868.849034,31638.0992,0,0,0,0,0,6868.849034,31638.0992,0,5821.53678,1581.657762,4239.879018,0,0,0,0,0,1581.657762,4239.879018,0,Southern Europe,SMR,0.821498773,N,0.821498773,0.218724957
VT,Vatican City,0,2259.750779,0,0,2259.750779,0,0,0,0,0,0,2259.750779,-131.2280745,0,0,-131.2280745,0,0,0,0,0,0,-131.2280745,Southern Europe,VAT,0.821498773,N,0.821498773,0.218724957
HR,Croatia,0,6208321.109,2572039.263,1976179.633,1660102.213,0,0,0,0,2572039.263,1976179.633,1660102.213,-273609.1256,-193774.5101,-65753.96353,-14080.65202,0,0,0,0,-193774.5101,-65753.96353,-14080.65202,Southern Europe,HRV,0.834105279,Y,0.821498773,0.218724957
AL,Albania,0,4140156.119,1745476.869,1221093.982,1173585.268,0,0,0,0,1745476.869,1221093.982,1173585.268,-295471.896,-570190.0057,-116919.1881,391637.2978,0,0,0,0,-570190.0057,-116919.1881,391637.2978,Southern Europe,ALB,0.597146289,Y,0.821498773,0.218724957
BK,Bosnia & Herzegovina,0,5297523.353,1315645.559,2870772.963,1111104.831,0,0,0,0,1315645.559,2870772.963,1111104.831,24780.84097,35186.3696,-44868.59349,34463.06486,0,0,0,0,35186.3696,-44868.59349,34463.06486,Southern Europe,BIH,0.482298156,Y,0.821498773,0.218724957
MJ,Montenegro,0,837740.473,224525.564,425921.2794,187293.6296,0,0,0,0,224525.564,425921.2794,187293.6296,16375.90592,4416.238157,-12441.07496,24400.74273,0,0,0,0,4416.238157,-12441.07496,24400.74273,Southern Europe,MNE,0.821498773,N,0.821498773,0.218724957
RI,Serbia,0,11112150.44,4239803.276,3485604.795,3386742.37,0,0,0,0,4239803.276,3485604.795,3386742.37,-1371530.695,-839470.5662,-469255.47,-62804.65883,0,0,0,0,-839470.5662,-469255.47,-62804.65883,Southern Europe,SRB,0.397863,Y,0.821498773,0.218724957
GR,Greece,0,13831232.35,4344785.372,3211129.136,6275317.838,0,0,0,0,4344785.372,3211129.136,6275317.838,-7301.205902,56772.16313,-33565.36253,-30508.00651,0,0,0,0,56772.16313,-33565.36253,-30508.00651,Southern Europe,GRC,0.892276533,Y,0.821498773,0.218724957
MK,Macedonia,0,2709314.017,654235.8351,1023559.449,1031518.734,0,0,0,0,654235.8351,1023559.449,1031518.734,86232.20792,35982.29873,29084.63032,21165.27886,0,0,0,0,35982.29873,29084.63032,21165.27886,Southern Europe,MKD,0.717670656,Y,0.821498773,0.218724957
BU,Bulgaria,0,10844210.82,4642549.139,3420541.945,2781119.733,0,0,0,0,4642549.139,3420541.945,2781119.733,-1152029.211,-681633.9454,-501471.6516,31076.38627,0,0,0,0,-681633.9454,-501471.6516,31076.38627,Eastern Europe,BGR,0.733469953,Y,0.771560449,0.100346888
PO,Portugal (Azores),0,299735.6786,146226.021,153509.6576,0,0,0,0,0,146226.021,153509.6576,0,4712.286932,-4664.069874,9376.356806,0,0,0,0,0,-4664.069874,9376.356806,0,Southern Europe,PRT,1.122125444,Y,0.821498773,0.218724957
PO,Portugal,0,12757099.08,4005063.409,4089661.826,4662373.845,0,0,0,0,4005063.409,4089661.826,4662373.845,75690.23962,-138194.3266,114251.504,99633.0623,0,0,0,0,-138194.3266,114251.504,99633.0623,Southern Europe,PRT,1.122125444,Y,0.821498773,0.218724957
GI,Gibraltar,0,26280.04123,73.46972381,4928.290105,21278.2814,0,0,0,0,73.46972381,4928.290105,21278.2814,3954.357778,-9.36031419,835.8405515,3127.877541,0,0,0,0,-9.36031419,835.8405515,3127.877541,Southern Europe,GIB,0.821498773,N,0.821498773,0.218724957
SP,Spain,0,50569475.89,10977873.56,14631770.59,24959831.74,0,0,0,0,10977873.56,14631770.59,24959831.74,6328280.244,1477130.391,1869544.716,2981605.136,0,0,0,0,1477130.391,1869544.716,2981605.136,Southern Europe,ESP,0.787808416,Y,0.821498773,0.218724957
